gene	gains	losses
rdgC_2*	6.96	0.66
group_1862	8.5	15
group_6390	6.33	0.51
group_3664	7	16.5
group_12651	7.57	1.14
group_4402*	7.01	0.69
group_4242	1.5	2.83
group_3656*	7.02	1.43
group_2170	9.1	5.98
dsbC_1	7.97	1.15
traC_3	7.97	1.15
group_7427	7.97	1.15
group_4695*	7.97	1.15
group_8121	7.97	1.15
pdeG_2	7.97	1.15
group_4698	7.97	1.15
group_12441	7.97	1.15
group_8117	7.97	1.15
group_10337	7.97	1.15
group_2446	7.97	1.15
group_7436*	7.97	1.15
cobS_1	7.97	1.15
group_7438*	7.97	1.15
group_11717	7.97	1.15
group_11661	7.97	1.15
group_4708	7.97	1.15
group_11714	7.97	1.15
group_12419	7.97	1.15
group_7444	7.97	1.15
group_11711	7.97	1.15
group_2459	7.97	1.15
group_11709*	7.97	1.15
ycbX_2	7.97	1.15
group_7449	7.97	1.15
group_2463	7.97	1.15
group_12411	7.97	1.15
group_8098	7.97	1.15
group_12409	7.97	1.15
group_11647	7.97	1.15
group_4722	7.97	1.15
yfbR_1	7.97	1.15
group_11693*	7.97	1.15
group_7464	7.97	1.15
group_11636	7.97	1.15
group_7466	7.97	1.15
group_11689*	7.97	1.15
group_7468	7.97	1.15
group_11632	7.97	1.15
group_8080	7.97	1.15
group_12390	7.56	1.35
group_5734	7.56	1.35
group_12385	7.56	1.35
group_11838	7.56	1.35
group_10414	7.56	1.35
group_12382	7.56	1.35
group_10416	7.56	1.35
group_10422	7.97	1.15
group_11823	7.97	1.15
group_11035	6	17.5
group_5683*	12	11.5
group_3994*	12	11.5
group_7955	6.83	1.25
group_6733	6.44	1.22
group_4498	3.59	0.66
group_6290	7.98	1.04
group_6296	5.92	4.77
group_3613	7.01	2.62
group_6538	5.4	1.74
group_2193	5.17	0.61
group_7087	5.17	0.61
group_614	6.81	1.13
group_7138	5.83	3.49
group_3664*	6.4	1.57
group_9810	6.31	0.32
group_3499	7.94	1.19
group_7403	6.97	1.53
group_1641	8.5	4.63
group_2686	6.69	1.17
group_7824	7.66	4.23
group_6645	7.75	1.55
group_3019	8.07	6.63
group_8917*	7	16.5
group_1799	8.07	6.63
group_3025*	7	16.5
group_3664**	7	16.5
group_10256	7	16.5
group_4542	6	17.5
group_2622	10	13.5
group_4223*	6	17.5
group_6055*	7.32	0.75
group_3253*	7.27	0.53
group_3252*	7.27	0.53
group_1994*	6.53	3.11
group_3461	6.96	4.43
group_3404	7.17	4.97
group_2011	7.45	1.33
group_2007	5.59	0.99
group_4419*	7.52	1.72
group_8249	6.71	2.34
group_9222	7.32	1.76
group_3542*	7.4	1.62
higA_3	6.63	2.14
virB	7.48	3.11
group_6359	6.77	3.13
group_4734*	7.79	0.77
korB	7.5	16
group_4452	7.5	16
hin_3	7.5	16
group_2459*	6.16	1.41
group_9334	7.19	1.49
group_8038	7.67	1.98
relE_1	5.97	1.12
group_3435	5.97	1.12
group_5802	6.96	2.12
group_9056	7.45	1.29
group_2755*	6.8	1.1
group_7978	6.48	0.97
group_3642	6.23	0.89
group_4221	7.57	2.03
group_8948	7.4	1.7
group_6886	7.39	1.55
group_2757	7.39	1.55
group_4069	7.39	1.55
group_2759*	7.39	1.55
group_6720	7	16.5
group_5452	5.45	2.61
group_6171	2.78	3.71
group_4455*	8.33	14.47
group_1846	6.21	0.73
group_4970	6.29	6.79
group_2459**	7.9	0.88
group_5638	7.66	1.12
group_5957	7.94	0.4
group_4698*	6.62	15.65
group_3489	6.27	0.54
ydhC_1	7.78	1.2
group_7283*	7.18	0.76
group_2960	5.98	1.71
group_5348	6.31	0.42
group_5012	4.55	0.66
group_5904	1.2	1.98
group_4580	7.7	1.65
group_3990	7.7	1.65
ymoA**	7.7	1.65
group_1948*	7.7	1.65
group_7210	7.7	1.65
group_7053	7.7	1.65
group_1874	7.7	1.65
group_4570	7.7	1.65
group_4569	7.7	1.65
group_8708	7.7	1.65
group_3504	7.7	1.65
group_3979	7.7	1.65
group_7220	7.7	1.65
stbB_2	7.7	1.65
parM_3	7.7	1.65
group_4562	7.7	1.65
group_7225	7.7	1.65
group_1886	7.7	1.65
group_1887	7.7	1.65
group_7068	7.7	1.65
group_11507	7.7	1.65
group_3956	7.75	1.64
group_1911	7.78	1.22
group_1560	6.9	2.19
group_4419**	7.86	1.28
group_3240	7.94	1.1
group_5012*	4.06	0.16
group_2171	5.82	0.86
group_6505	7.68	1.1
group_2622*	5	0.32
group_7787	4.46	0.32
group_6896	7.82	1.11
group_10662	7.14	0.72
group_4283	5.93	0.57
group_4822	7.36	1.33
group_6485	6.84	0.55
group_2638	7.82	0.83
group_4185	7.7	1.11
group_10945	5.98	0.46
group_2639**	5.98	0.46
repB_2	7.37	1.58
group_4562*	7.97	0.94
group_2013	7.71	1.23
group_2007*	7.17	1.4
group_8813	6.49	1.84
group_8731*	7.91	1
group_2300	12.15	9.87
group_6837	8	15.5
group_1862*	7.5	16
group_768	6.96	0.65
group_2110	7.88	1.31
group_8098*	6.93	1.4
group_6668	7.5	16
group_5429	6	16.57
group_2536*	8.6	13.27
group_7290	10	13.5
traI_1	11.5	12
traD_1	8.93	13.15
group_4034*	12	11.5
group_4033	11.5	12
group_8174	12	11.5
group_7189*	11	12.5
group_3506	12	11.5
traC_1	12	11.5
group_7198	12	11.5
group_3382	12	11.5
group_3385*	6.5	17
traM_1	6.5	17
group_9748*	7.66	2.32
group_5705	8.83999999999999	5.26
group_6300	4.98	0.29
group_10723	7.21	0.66
group_2686*	8.5	15
topB_2	11.12	12.09
yhcR_1	14.32	8.21
group_9826	9.5	14
group_9149	8.43	4.77
group_2362*	9.22	4.43
group_4665	8	15.5
group_1531	6.16	14.82
group_9137	5.66	15.32
group_11816*	5.98	0.49
group_9117	8.95	3.1
group_3957*	6.16	15.84
group_3893*	8.46	5.18
group_2347	6.62	14.37
group_443	8.98	1.9
group_2544	6.75	0.78
hsdR	6.75	0.78
group_3257*	7.51	15.24
group_4841	8.78	5
group_7741	8.32	1.77
group_7594	6.34	0.62
group_2374	15	8.5
group_3025**	9.99	11.28
group_3122	9.5	14
group_3555	8	4.51
group_5026	6.96	0.53
group_3297	6.31	1.57
group_4291	8.29	1.81
group_9482	6.99	0.75
group_8131*	6.99	0.75
group_5748	7.88	14.94
group_4276	8.12	15.02
group_2126	6.93	0.62
group_3055*	9.09	6.83
group_11272	6	0.28
flmC_2	6.59	16.13
group_7081	5.99	0.44
group_8329	5.98	0.4
group_5961	6.99	0.67
group_3257**	6.99	0.67
traS	10.86	11.72
group_4398*	7.11	0.82
group_6399	6.17	0.63
group_4261*	8	15.5
group_8246	6.88	1.23
group_11752	6.97	0.67
group_4672	6.97	0.67
group_2411	6.97	0.67
group_11645*	6.98	0.78
group_2470	6.98	0.78
group_12404	6.98	0.78
group_2472*	6.98	0.78
group_11641	6.98	0.78
group_7461	6.97	0.75
group_4618	6.59	0.94
group_8038*	6.59	0.94
group_12346	6.59	0.94
group_7528	6.59	0.94
group_7529	6.59	0.94
group_10454	6.59	0.94
group_3987	9.45	3.05
group_4343	5.96	0.33
group_5083	5.83	0.89
group_2808	6.06	5.27
group_1837	7.5	16
group_5701	4.94	0.32
group_5957*	5.98	0.41
tetA	4.88	0.69
tetR	4.88	0.69
group_4942*	9.11	4.24
group_3311*	6.55	0.99
group_4707	5.2	0.73
group_6370	9.28	3.51
group_6837*	2.5	1.87
group_6375	6.99	0.54
group_11156	7.25	0.85
group_3919	5.04	0.46
group_1079	5.85	1.72
group_8871	7.98	1.51
group_6785	2.52	1.86
group_7528*	5.28	0.3
group_1707	5.07	1.6
group_5933	5.07	1.6
group_5202	5.07	1.6
group_1192	6.95	0.55
group_4102	6.14	3.01
group_4430	6	0.47
group_6490	5.32	0.23
group_6491	5.32	0.23
group_3664***	5.32	0.23
group_3663	5.32	0.23
group_3662**	5.32	0.23
group_6318	5.32	0.23
group_6317	5.32	0.23
group_9902	6.27	0.48
group_8933	6.28	0.48
group_5766*	5.67	0.86
group_2009	5.89	0.59
group_2171*	8.7	4.29
group_2957	7.02	15.72
group_7967	5.88	0.68
group_8918	8.58	3.31
group_2283	8.39	6.93
group_8902	6	17.5
group_11874	7.17	0.51
group_13588	5.84	0.96
group_4494*	7.32	1.8
group_5230	6.33	0.58
group_8011	5.64	1.46
group_4470	6.49	1.27
group_5892*	5.85	0.81
group_12022	6.29	0.31
group_7903	8.63	2.58
group_9324	6.78	1.24
group_3795	6.78	1.24
group_3794	6.78	1.24
group_2017	7.08	15.84
