id	name	class	increase	decrease	core_to_inter	core_to_rare	core_to_absent	inter_to_core	inter_to_rare	inter_to_absent	rare_to_core	rare_to_inter	rare_to_absent	absent_to_rare	absent_to_inter	absent_to_core
9	32	Multi-cluster rare	278.640000000001	189.049999999999	0	0	1	88	0	373	240	0	423	0	0	0
10	42	Multi-cluster rare	274.590000000001	191	0	0	2	89	0	372	234	0	429	0	0	0
11	24	Multi-cluster rare	429.250000000001	166.03	0	0	2	183	0	319	160	0	403	0	0	185
12	36	Multi-cluster rare	246.970000000001	215.03	0	0	1	266	0	398	177	0	1113	0	0	0
13	8	Multi-cluster rare	1131.82000000001	107.880000000001	0	0	0	455	0	209	979	0	311	0	0	0
14	34	Multi-cluster rare	684.260000000004	169.740000000001	0	0	3	194	0	310	604	0	803	0	0	0
15	9	Multi-cluster rare	1060.75000000001	115.230000000001	0	0	1	300	0	204	716	0	691	0	0	211
16	40	Multi-cluster rare	1044.03	186.08	0	0	0	117	0	362	572	0	329	0	0	423
17	30	Multi-cluster rare	79.06	247.749999999999	0	0	0	11	0	470	75	0	983	0	0	0
18	45	Multi-cluster rare	139.59	215.279999999999	0	0	0	75	0	406	104	0	954	0	0	0
19	12	Multi-cluster rare	1346.21000000001	72.8300000000001	0	0	3	250	0	122	666	0	344	0	0	612
20	28	Multi-cluster rare	587.220000000001	112.840000000001	0	0	1	198	0	174	259	0	751	0	0	270
21	35	Multi-cluster rare	161.16	204.99	0	0	0	150	0	385	93	0	439	0	0	0
22	23	Multi-cluster rare	604.340000000001	151.44	0	0	0	321	0	291	456	0	744	0	0	0
23	10	Multi-cluster rare	805.039999999998	212.91	0	0	0	936	0	383	286	0	1763	0	0	0
24	16	Multi-cluster rare	220.759999999999	827.619999999958	0	0	0	78	0	1864	192	0	1911	0	0	0
25	1	Multi-cluster rare	2938.84999999996	41.7099999999997	0	0	0	1867	0	75	1907	0	196	0	0	0
26	46	Multi-cluster rare	342.429999999999	256.739999999999	0	0	0	271	0	551	186	0	324	0	0	0
