gene	gains	losses
group_12382	7	1
group_10416	7	1
group_10422	8	0
group_11823	8	0
group_11035	7	3
group_5683*	7	5
group_3994*	7	5
group_7955	6	1
group_6733	6	1
group_4498	3	1
group_6290	8	0
group_6296	6	3
group_3613	5	3
group_6538	3	3
group_2193	4	1
group_7087	4	1
group_614	6	1
group_7138	6	1
group_3664*	5	2
group_9810	6	0
group_3499	8	0
group_7403	4	4
group_1641	6	4
group_2686	5	2
group_7824	6	3
group_6645	8	0
group_3019	6	4
group_8917*	6	5
group_1799	6	4
group_3025*	6	5
group_3664**	6	5
group_10256	6	5
group_4542	5	6
group_2622	7	5
group_4223*	9	1
group_6055*	7	0
group_3253*	6	1
group_3252*	6	1
group_1994*	6	1
group_3461	7	1
group_3404	6	3
group_2011	7	0
group_2007	4	2
group_4419*	7	1
group_8249	6	2
group_9222	7	1
group_3542*	7	1
higA_3	6	2
virB	8	1
group_6359	6	3
group_4734*	7	1
korB	9	6
group_4452	12	2
hin_3	12	2
group_2459*	5	2
group_9334	6	2
group_8038	8	0
relE_1	5	1
group_3435	5	1
group_5802	7	1
group_9056	7	1
group_2755*	7	0
group_7978	6	1
group_3642	6	0
group_4221	8	0
group_8948	7	1
group_6886	7	1
group_2757	7	1
group_4069	7	1
group_2759*	7	1
group_6720	7	5
group_5452	2	5
group_6171	2	4
group_4455*	11	3
group_1846	6	0
group_4970	7	2
group_2459**	8	0
group_5638	6	2
group_5957	8	0
group_4698*	8	5
group_3489	6	0
ydhC_1	7	1
group_7283*	7	0
group_2960	4	3
group_5348	6	0
group_5012	4	1
group_5904	2	1
group_4580	7	1
group_3990	7	1
ymoA**	7	1
group_1948*	7	1
group_7210	7	1
group_7053	7	1
group_1874	7	1
group_4570	7	1
group_4569	7	1
group_8708	7	1
group_3504	7	1
group_3979	7	1
group_7220	7	1
stbB_2	7	1
parM_3	7	1
group_4562	7	1
group_7225	7	1
group_1886	7	1
group_1887	7	1
group_7068	7	1
group_11507	7	1
group_3956	7	1
group_1911	7	1
group_1560	7	1
group_4419**	8	0
group_3240	8	0
group_5012*	4	0
group_2171	4	2
group_6505	7	1
group_2622*	5	0
group_7787	4	0
group_6896	7	1
group_10662	7	0
group_4283	6	0
group_4822	6	2
group_6485	6	1
group_2638	7	1
group_4185	7	1
group_10945	6	0
group_2639**	6	0
repB_2	7	1
group_4562*	8	0
group_2013	7	1
group_2007*	7	0
group_8813	6	1
group_8731*	8	0
group_2300	11	5
group_6837	10	3
group_1862*	8	5
group_768	7	0
group_2110	7	1
group_8098*	7	0
group_6668	8	2
group_5429	10	2
group_2536*	6	10
group_7290	13	3
traI_1	4	14
traD_1	8	8
group_4034*	2	16
group_4033	4	14
group_8174	2	16
group_7189*	5	9
group_3506	2	16
traC_1	2	16
group_7198	2	16
group_3382	2	16
group_3385*	12	1
traM_1	12	1
group_9748*	7	2
group_5705	9	2
group_6300	5	0
group_10723	7	0
group_2686*	9	5
topB_2	4	9
yhcR_1	5	6
group_9826	5	8
group_9149	10	0
group_2362*	10	0
group_4665	11	3
group_1531	12	0
group_9137	11	0
group_11816*	6	0
group_9117	9	0
group_3957*	12	0
group_3893*	10	0
group_2347	12	0
group_443	8	0
group_2544	6	1
hsdR	6	1
group_3257*	13	1
group_4841	10	1
group_7741	8	1
group_7594	6	0
group_2374	2	14
group_3025**	7	8
group_3122	7	6
group_3555	6	4
group_5026	7	0
group_3297	6	1
group_4291	8	1
group_9482	7	0
group_8131*	7	0
group_5748	6	6
group_4276	8	7
group_2126	7	0
group_3055*	6	6
group_11272	6	0
flmC_2	6	5
group_7081	6	0
group_8329	6	0
group_5961	7	0
group_3257**	7	0
traS	7	9
group_4398*	7	0
group_6399	6	0
group_4261*	11	2
group_8246	7	0
group_11752	7	0
group_4672	7	0
group_2411	7	0
group_11645*	7	0
group_2470	7	0
group_12404	7	0
group_2472*	7	0
group_11641	7	0
group_7461	7	0
group_4618	6	1
group_8038*	6	1
group_12346	6	1
group_7528	6	1
group_7529	6	1
group_10454	6	1
group_3987	10	0
group_4343	6	0
group_5083	6	0
group_2808	7	1
group_1837	9	3
group_5701	3	2
group_5957*	6	0
tetA	4	1
tetR	4	1
group_4942*	8	2
group_3311*	6	1
group_4707	4	1
group_6370	8	2
group_6837*	2	2
group_6375	7	0
group_11156	7	0
group_3919	3	2
group_1079	5	1
group_8871	6	2
group_6785	2	2
group_7528*	5	0
group_1707	3	3
group_5933	3	3
group_5202	3	3
group_1192	7	0
group_4102	4	4
group_4430	6	0
group_6490	5	0
group_6491	5	0
group_3664***	5	0
group_3663	5	0
group_3662**	5	0
group_6318	5	0
group_6317	5	0
group_9902	6	0
group_8933	6	0
group_5766*	4	2
group_2009	4	2
group_2171*	10	1
group_2957	8	3
group_7967	4	2
group_8918	5	4
group_2283	6	5
group_8902	7	4
group_11874	7	0
group_13588	5	1
group_4494*	7	0
group_5230	6	0
group_8011	5	1
group_4470	6	1
group_5892*	5	1
group_12022	6	0
group_7903	9	0
group_9324	7	0
group_3795	7	0
group_3794	7	0
group_2017	9	4
group_4158	4	0
group_8764	5	0
group_1306	7	0
group_13532	7	0
group_5492	7	0
group_6552*	5	1
group_4435*	6	1
group_7112	4	2
group_2733	6	1
group_3842**	4	0
group_2540*	6	0
group_4097	4	1
group_6054**	9	6
group_11358	8	1
group_6068	9	6
traL	9	6
traM_1*	9	6
group_5444	8	6
group_4747	9	6
group_4140*	9	6
trfB	9	6
group_6685	8	4
group_8010	9	4
group_9661	8	4
group_4221*	9	6
klcB	9	6
group_5245	8	6
group_4508	9	1
group_7434	7	0
group_10147	7	0
group_4402**	6	0
group_4003	7	0
group_5683**	6	0
group_3893**	5	2
group_6975	6	5
group_7929	4	2
group_5452*	5	1
group_6999	6	1
group_9057	6	1
group_2286	6	1
group_3656**	7	0
group_4328	7	0
erm	7	0
group_9208*	6	0
group_11011	6	0
group_7567	6	1
group_8709	5	1
group_6791	7	0
group_6370*	6	0
group_5664*	7	0
group_5202*	7	0
aplIM	6	1
group_6455	6	1
pspF_2	5	1
group_7290*	5	2
group_4041	7	0
group_9486	9	0
group_3779*	6	0
group_5311	4	5
group_5547	2	2
group_5067**	7	2
prtR	7	2
group_6338	7	2
group_5608	6	1
group_4626	1	4
group_5716	6	0
group_5290	2	4
group_4837	6	0
group_10445	6	1
group_6780	7	3
group_4430*	1	5
group_4400	6	0
group_7857	7	0
group_3592*	5	0
group_6020	3	2
group_10078	8	0
group_5290*	7	0
group_3435*	6	1
group_1893	6	1
umuC_3	6	1
group_5579	5	1
group_8909	6	1
group_3664****	5	1
group_4252	7	0
group_4470*	7	0
group_1178	7	0
group_3663*	5	1
group_4033*	4	2
group_7608	6	1
group_8020*	4	0
group_1381	8	2
group_6465	6	0
group_5751	6	0
group_3733	5	1
group_1818	9	1
group_10534	5	2
group_4156	6	1
group_4155	6	1
group_4140**	6	1
repB_1	6	1
group_4286	6	1
group_3319	6	1
group_4256	6	1
group_4251	6	1
group_13270	6	1
group_6494	6	1
group_3385**	6	1
group_3386	6	1
group_3846*	7	0
group_4890	6	0
group_2235*	6	1
group_7017	6	1
group_9761	6	1
group_9762	6	1
group_9769	6	1
group_1950	6	1
group_5045	6	1
group_4181	7	0
group_2863	5	1
group_1496	5	2
group_12575	6	0
group_6813*	6	0
group_6335	7	0
group_7419	6	0
group_9117*	6	0
group_11848	6	0
group_8174*	6	0
group_3345	6	0
group_5284	6	0
group_9108	6	0
group_4148	6	0
group_9106	6	0
group_9105	6	0
group_3352	6	0
group_7403*	6	0
group_8185	6	0
group_8186*	6	0
group_4140***	6	0
group_9098	6	0
group_5276	6	0
group_3362*	6	0
group_7393	6	0
group_4175	6	0
group_6597	6	0
group_12090	6	1
group_1849	6	1
group_12100	6	1
group_8923	6	1
group_1691	6	1
group_1695	6	1
group_3378	6	1
group_1408	7	0
group_8901	5	1
group_2300*	6	0
hha_1	6	0
group_3862	6	1
group_3216**	5	0
group_9569	6	0
group_890	5	1
group_2575*	6	0
group_2186	5	9
group_11375	6	0
group_6551*	0	15
group_1594	0	15
group_2859*	1	14
group_2860	0	13
group_2862	0	13
group_2831	0	13
group_2709	0	14
group_2957*	4	13
group_7338	4	14
traV_1	9	8
traR_2	4	14
group_8122	8	3
group_4196	9	1
group_4514	6	0
group_4058	6	0
group_6471**	9	4
group_5673	5	0
group_3874*	8	9
group_7145	6	0
group_8988	9	1
group_2863*	4	8
group_5709	6	7
group_5713	12	1
group_815	6	9
group_1561	7	9
dnaB_3	3	6
group_2638*	4	2
group_3926	10	0
group_2321	5	0
group_2375	10	0
group_7107	5	0
group_6596	5	1
group_10516	5	1
group_2013*	12	0
group_510	6	11
group_4246	11	1
group_3020	8	8
group_5734*	7	9
group_9756	8	8
group_2764	8	9
yggR_1	9	4
group_3029	8	8
group_2759**	8	7
group_1661	11	0
group_1496*	11	0
group_3979*	8	1
group_2718*	6	0
group_4384**	6	0
group_6893	9	2
group_7930*	4	1
mbeA_1	6	0
group_1296*	7	4
group_5160	13	1
group_6538*	13	0
group_3504*	13	0
group_2638**	6	0
group_5430	9	0
group_4251*	5	1
group_3493	6	0
group_4243	2	3
group_1497	6	0
group_4360	11	0
group_3033	6	0
group_7644	6	0
group_8343	7	1
group_6189	6	0
group_4047	6	8
group_4480*	13	2
group_7345	5	0
group_2362**	6	0
group_8620	6	1
group_8523	5	0
group_15155	4	1
group_2170*	6	0
group_11076	6	2
group_639	8	3
group_6261	6	10
group_3380	7	2
group_1849*	10	1
group_5932	10	1
group_3132	10	1
group_2118	5	1
group_3262	6	3
group_6338*	8	6
group_3932	3	1
group_4100	3	1
group_4097*	4	1
group_11758**	4	0
group_15521	5	0
group_15523	5	0
group_9678	4	1
group_11324	10	1
group_9613*	5	0
group_10594	2	4
group_3731	2	3
group_4474	3	1
group_3554	2	3
group_10847	4	0
group_10380	11	4
group_10880	2	1
group_4438	2	3
group_6051	6	2
group_8079	3	2
group_4530	6	0
group_3479	5	3
group_8431	5	0
group_4753	6	0
group_9373	5	0
group_5830	6	0
group_5517	5	0
group_2651	9	2
group_2911	7	6
group_2620	5	0
group_6344	5	0
group_10997	6	0
group_3663**	11	0
group_7390	6	0
group_8883	6	0
group_2062	7	1
group_3763*	6	0
group_8562	6	0
group_9991	5	0
group_7200***	6	0
group_5570	5	5
group_1971	5	5
group_3958	6	0
group_3680	6	5
group_6266	6	0
group_6361	4	4
group_8871*	5	1
group_1433	4	0
group_4531*	5	1
group_1849**	9	2
group_7895	7	0
group_5194	3	0
group_7901*	3	2
group_5470	2	3
group_5471	2	3
group_6404	2	3
group_6405	2	3
group_4690	2	3
traC_2	2	3
group_6408*	2	3
group_7283**	2	3
group_5478	2	3
group_4684**	2	3
group_4683	2	3
group_5484	2	3
group_5486	2	3
group_7290**	2	3
group_7291	2	3
group_4675	2	3
group_5492*	2	3
group_4672*	2	3
group_6484	2	3
group_3985	2	3
group_4321	2	3
group_7298	2	3
group_7299	2	3
group_4666	2	3
group_3979**	2	3
group_5501*	2	3
group_4328*	2	3
group_5503	2	3
group_4660**	2	3
group_4332	2	3
group_5506	2	3
group_4656	2	3
fyuA_2	2	3
group_4654	2	3
group_7311	2	3
group_2337	2	3
group_4340	2	3
group_4341	2	3
pikAV_3	2	3
group_4343*	2	3
group_5516	2	3
group_6463	2	3
group_7317	2	3
group_6461	2	3
group_3957**	2	3
group_5522	2	3
group_7322	2	3
group_6455*	2	3
group_3951	2	3
group_3950	2	3
group_4637	2	3
group_4636*	2	3
group_4358	2	3
